Date,Description,Amount,Category
2023-01-05,Salary Deposit,5000.00,Income
2023-01-10,Grocery Store,-125.50,Food & Dining
2023-01-12,Amazon Purchase,-89.99,Shopping
2023-01-15,Rent Payment,-1800.00,Housing
2023-01-18,Gas Station,-42.75,Transportation
2023-01-20,Netflix Subscription,-14.99,Entertainment
2023-01-22,Pharmacy,-35.25,Health & Fitness
2023-01-25,Electricity Bill,-85.67,Utilities
2023-01-28,Restaurant,-65.34,Food & Dining
2023-02-05,Salary Deposit,5000.00,Income
2023-02-08,Grocery Store,-132.45,Food & Dining
2023-02-12,Mobile Phone Bill,-65.00,Utilities
2023-02-15,Rent Payment,-1800.00,Housing
2023-02-17,Gym Membership,-50.00,Health & Fitness
2023-02-20,Gas Station,-38.55,Transportation
2023-02-22,Online Course,-199.99,Education
2023-02-25,Department Store,-145.65,Shopping
2023-02-28,Restaurant,-78.90,Food & Dining
2023-03-05,Salary Deposit,5000.00,Income
2023-03-07,Grocery Store,-118.75,Food & Dining
2023-03-10,Internet Bill,-75.00,Utilities
2023-03-15,Rent Payment,-1800.00,Housing
2023-03-18,Gas Station,-45.25,Transportation
2023-03-20,Movie Theater,-24.50,Entertainment
2023-03-22,Pharmacy,-28.75,Health & Fitness
2023-03-25,Investment Deposit,-500.00,Savings & Investments
2023-03-28,Restaurant,-55.40,Food & Dining
2023-03-30,Travel Booking,-450.00,Travel 